***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "13-56-36-04-12-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
50197.0267;(0.0000, 2.2000, -34.0000);0.0000;0.0000;Infinity;;
50197.0413;(0.0000, 2.2000, -34.0000);0.0000;0.0000;148.4297;;
50197.0579;(0.0000, 2.2000, -34.0000);0.0000;0.0000;130.6988;;
50197.0749;(0.0000, 2.2000, -34.0000);0.0000;0.0000;117.0294;;
50197.0915;(0.0000, 2.2000, -34.0000);0.0000;0.0000;106.5374;;
50197.1082;(0.0000, 2.2000, -34.0000);0.0000;0.0000;98.9009;;
50197.1407;(0.0000, 2.2000, -34.0000);0.0000;0.0000;88.0285;;
50197.1583;(0.0000, 2.2000, -34.0000);0.0000;0.0000;84.7152;;
50197.1748;(0.0000, 2.2000, -34.0000);0.0000;0.0000;80.7864;;
50197.1916;(0.0000, 2.2000, -34.0000);0.0000;0.0000;78.1207;;
50197.2079;(0.0000, 2.2000, -34.0000);0.0000;0.0000;75.7988;;
50197.2414;(0.0000, 2.2000, -34.0000);0.0000;0.0000;72.3113;;
50197.2577;(0.0000, 2.2000, -34.0000);0.0000;0.0000;70.7955;;
50197.2745;(0.0000, 2.2000, -34.0000);0.0000;0.0000;69.8662;;
50197.2908;(0.0000, 2.2000, -34.0000);0.0000;0.0000;68.6792;;
50197.3077;(0.0000, 2.2000, -34.0000);0.0000;0.0000;67.7621;;
50197.3418;(0.0000, 2.2000, -34.0000);0.0000;0.0000;65.5827;;
50197.3599;(0.0000, 2.2000, -34.0000);0.0000;0.0000;65.1630;;
50197.3927;(0.0000, 2.2000, -34.0000);0.0000;0.0000;64.0417;;
50197.4082;(0.0000, 2.2000, -34.0000);0.0000;0.0000;57.7013;;
50197.4416;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.3485;;
50197.4583;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.5084;;
50197.4749;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.6473;;
50197.4911;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.8046;;
50197.5083;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.1106;;
50197.5416;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.4973;;
50197.5581;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.1466;;
50197.5748;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.2923;;
50197.5910;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.3657;;
50197.6080;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.5767;;
50197.6416;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.4755;;
50197.6582;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.5295;;
50197.6749;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.5804;;
50197.6906;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.6145;;
50197.7080;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.9948;;
50197.7415;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.9313;;
50197.7577;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.7041;;
50197.7738;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.9986;;
50197.7917;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.0945;;
50197.8087;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.7482;;
50197.8409;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.6644;;
50197.8752;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.0688;;
50197.8914;(0.0000, 2.2000, -34.0000);0.0000;0.0000;54.3554;;
50197.9081;(0.0000, 2.2000, -34.0000);0.0000;0.0000;54.9258;;
50197.9415;(0.0000, 2.2000, -34.0000);0.0000;0.0000;55.7659;;
50197.9581;(0.0000, 2.2000, -34.0000);0.0000;0.0000;56.2107;;
50197.9748;(0.0000, 2.2000, -34.0000);0.0000;0.0000;56.5733;;
50197.9915;(0.0000, 2.2000, -34.0000);0.0000;0.0000;56.8862;;
50198.0082;(0.0000, 2.2000, -34.0000);0.0000;0.0000;57.1900;;
50198.0415;(0.0000, 2.2000, -34.0000);0.0000;0.0000;57.6680;;
50198.0575;(0.0000, 2.2000, -34.0000);0.0000;0.0000;57.9241;;
50198.0748;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.3533;;
50198.0915;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.2877;;
50198.1082;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.4551;;
50198.1415;(0.0000, 2.2000, -34.0000);0.0000;0.0000;59.0418;;
50198.1579;(0.0000, 2.2000, -34.0000);0.0000;0.0000;58.8327;;
