***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-08-31-04-12-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
54511.3338;(0.0000, 2.2014, -34.0000);0.0000;0.0000;Infinity;;
54511.3506;(0.0000, 2.2014, -34.0000);0.0000;0.0000;205.0315;;
54511.3678;(0.0000, 2.2014, -34.0000);0.0000;0.0000;162.9787;;
54511.3833;(0.0000, 2.2014, -34.0000);0.0000;0.0000;138.0130;;
54511.4004;(0.0000, 2.2014, -34.0000);0.0000;0.0000;123.8540;;
54511.4173;(0.0000, 2.2014, -34.0000);0.0000;0.0000;111.5385;;
54511.4505;(0.0000, 2.2014, -34.0000);0.0000;0.0000;96.1097;;
54511.4679;(0.0000, 2.2014, -34.0000);0.0000;0.0000;90.3203;;
54511.4839;(0.0000, 2.2014, -34.0000);0.0000;0.0000;85.5188;;
54511.5007;(0.0000, 2.2014, -34.0000);0.0000;0.0000;82.4348;;
54511.5173;(0.0000, 2.2014, -34.0000);0.0000;0.0000;79.4047;;
54511.5507;(0.0000, 2.2014, -34.0000);0.0000;0.0000;74.5412;;
54511.5678;(0.0000, 2.2014, -34.0000);0.0000;0.0000;73.0292;;
54511.5840;(0.0000, 2.2014, -34.0000);0.0000;0.0000;71.2680;;
54511.6009;(0.0000, 2.2014, -34.0000);0.0000;0.0000;70.1578;;
54511.6172;(0.0000, 2.2014, -34.0000);0.0000;0.0000;68.8917;;
54511.6523;(0.0000, 2.2014, -34.0000);0.0000;0.0000;67.4563;;
54511.6673;(0.0000, 2.2014, -34.0000);0.0000;0.0000;66.2714;;
54511.6845;(0.0000, 2.2014, -34.0000);0.0000;0.0000;65.6021;;
54511.7010;(0.0000, 2.2014, -34.0000);0.0000;0.0000;64.7623;;
54511.7177;(0.0000, 2.2014, -34.0000);0.0000;0.0000;64.3167;;
54511.7509;(0.0000, 2.2014, -34.0000);0.0000;0.0000;63.7330;;
54511.7673;(0.0000, 2.2014, -34.0000);0.0000;0.0000;63.0922;;
54511.7844;(0.0000, 2.2014, -34.0000);0.0000;0.0000;62.8708;;
54511.8001;(0.0000, 2.2014, -34.0000);0.0000;0.0000;62.4384;;
54511.8168;(0.0000, 2.2014, -34.0000);0.0000;0.0000;62.5465;;
54511.8505;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.9463;;
54511.8673;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.6785;;
54511.8839;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.4617;;
54511.9008;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.3487;;
54511.9167;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.1171;;
54511.9505;(0.0000, 2.2014, -34.0000);0.0000;0.0000;61.2181;;
54511.9671;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.8505;;
54511.9836;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.8163;;
54512.0002;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.7819;;
54512.0176;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.7421;;
54512.0512;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.6793;;
54512.0678;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.1816;;
54512.0845;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.1799;;
54512.0999;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.1545;;
54512.1177;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.5919;;
54512.1508;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.3499;;
54512.1674;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.1767;;
54512.1845;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.1838;;
54512.2009;(0.0000, 2.2014, -34.0000);0.0000;0.0000;59.9852;;
54512.2169;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.0832;;
54512.2499;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.3045;;
54512.2670;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.3808;;
54512.2834;(0.0000, 2.2014, -34.0000);0.0000;0.0000;60.2112;;
