***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "10-53-10-06-07-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39190.7271;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
39190.7430;(0.0000, 2.2000, -34.0000);335.7521;0.0000;148.8936;;
39190.7596;(0.0000, 2.2000, -34.0000);335.7521;0.0000;129.5171;;
39190.7760;(0.0000, 2.2000, -34.0000);335.7521;0.0000;116.1091;;
39190.7929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;106.5141;;
39190.8262;(0.0000, 2.2000, -34.0000);335.7521;0.0000;98.6458;;
39190.8428;(0.0000, 2.2000, -34.0000);335.7521;0.0000;80.2493;;
39190.8596;(0.0000, 2.2000, -34.0000);335.7521;0.0000;77.6781;;
39190.8764;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.3717;;
39190.8925;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.4677;;
39190.9264;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.4503;;
39190.9432;(0.0000, 2.2000, -34.0000);335.7521;0.0000;69.2048;;
39190.9598;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.0796;;
39190.9763;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.2241;;
39190.9930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.4807;;
39191.0261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.0725;;
39191.0430;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.6578;;
39191.0596;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.0823;;
39191.0763;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.6953;;
39191.0929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.3209;;
39191.1257;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.6571;;
39191.1424;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.5767;;
39191.1591;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.2993;;
39191.1757;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.0621;;
39191.1923;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8566;;
39191.2262;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.4918;;
39191.2430;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1407;;
39191.2597;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9993;;
39191.2764;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8911;;
39191.2929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7858;;
39191.3264;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6526;;
39191.3433;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5429;;
39191.3599;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4241;;
39191.3766;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4061;;
39191.3931;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3717;;
39191.4264;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4146;;
39191.4433;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2945;;
39191.4599;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2064;;
39191.4766;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2051;;
39191.4931;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1685;;
39191.5268;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0982;;
39191.5434;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0292;;
39191.5601;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0744;;
39191.5767;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0625;;
39191.5934;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0547;;
39191.6261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1577;;
39191.6427;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2425;;
39191.6594;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2532;;
39191.6760;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2248;;
39191.6923;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2101;;
39191.7261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1731;;
39191.7429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0959;;
39191.7595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0361;;
39191.7762;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0648;;
39191.7928;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0506;;
39191.8261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0483;;
39191.8429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0758;;
39191.8595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0047;;
39191.8759;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0506;;
39191.8927;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1263;;
39191.9262;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2086;;
39191.9431;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9652;;
39191.9595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9193;;
39191.9762;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0147;;
39191.9929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9796;;
39192.0259;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9559;;
39192.0427;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1076;;
39192.0592;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0639;;
39192.0759;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1231;;
39192.0927;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0637;;
39192.1270;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7519;;
39192.1434;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7169;;
39192.1602;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7993;;
39192.1769;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8030;;
39192.1935;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8186;;
39192.2268;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8719;;
39192.2428;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8936;;
39192.2595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1201;;
39192.2762;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1022;;
39192.2928;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1103;;
39192.3278;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7831;;
39192.3437;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5457;;
39192.3605;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8300;;
39192.3770;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8393;;
39192.3932;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8842;;
39192.4267;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9623;;
39192.4435;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9828;;
39192.4602;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9510;;
39192.4764;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9536;;
39192.4930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1052;;
39192.5261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9819;;
39192.5430;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1731;;
39192.5596;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1166;;
39192.5762;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1142;;
39192.5929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1182;;
39192.6259;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1225;;
39192.6426;(0.0000, 2.2000, -34.0000);335.7521;0.0000;54.7021;;
39192.6593;(0.0000, 2.2000, -34.0000);335.7521;0.0000;55.1768;;
39192.6760;(0.0000, 2.2000, -34.0000);335.7521;0.0000;55.6390;;
39192.6926;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.0456;;
39192.7269;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.4782;;
39192.7436;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.7815;;
39192.7603;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.0854;;
39192.7769;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.3550;;
39192.7935;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.6531;;
39192.8263;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.1080;;
39192.8429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.4624;;
39192.8595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.6204;;
39192.8763;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.7626;;
39192.8927;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.8694;;
39192.9271;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.8093;;
39192.9438;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.8953;;
39192.9604;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0052;;
39192.9771;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0992;;
39192.9933;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.1939;;
39193.0265;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.3863;;
39193.0431;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6128;;
39193.0598;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6572;;
39193.0765;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6773;;
39193.0931;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7197;;
39193.1269;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6609;;
39193.1434;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6447;;
39193.1601;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7220;;
39193.1768;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7681;;
39193.1930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7697;;
39193.2270;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8136;;
39193.2433;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7842;;
39193.2598;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8912;;
39193.2768;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9583;;
39193.2934;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8382;;
39193.3261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9042;;
39193.3429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1248;;
39193.3594;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1118;;
39193.3761;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1442;;
39193.3923;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0953;;
39193.4262;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0357;;
39193.4430;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0255;;
39193.4596;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9847;;
39193.4763;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9930;;
39193.4930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9777;;
39193.5263;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0029;;
39193.5429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9986;;
39193.5598;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0227;;
39193.5765;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9426;;
39193.5930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9317;;
39193.6270;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7682;;
39193.6435;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7908;;
39193.6603;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8678;;
39193.6771;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8235;;
39193.6934;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8067;;
39193.7264;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0373;;
39193.7431;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0796;;
39193.7597;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0596;;
39193.7763;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0644;;
39193.7930;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0683;;
39193.8269;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9288;;
39193.8434;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8741;;
39193.8601;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9371;;
39193.8767;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9483;;
39193.8929;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9480;;
39193.9262;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1289;;
39193.9429;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1007;;
39193.9595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1075;;
39193.9762;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1002;;
39193.9927;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1179;;
39194.0270;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8597;;
39194.0435;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8091;;
39194.0601;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8696;;
39194.0768;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9030;;
39194.0935;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9161;;
39194.1261;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9260;;
39194.1428;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1702;;
39194.1595;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1439;;
39194.1761;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1291;;
39194.1928;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1475;;
39194.2259;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0981;;
39194.2426;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1550;;
39194.2594;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1459;;
39194.2760;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1051;;
39194.2927;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1086;;
39194.3271;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7487;;
39194.3437;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7094;;
39194.3600;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7692;;
39194.3770;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9003;;
39194.3936;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8127;;
39194.4283;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8478;;
39194.4580;(0.0066, 2.2000, -33.9970);335.7827;0.0000;59.8113;;
39194.4745;(0.0368, 2.2000, -33.9834);335.9795;0.0000;55.1830;;
39194.4912;(0.0595, 2.2000, -33.9734);336.1424;0.0000;55.6382;;
39194.5271;(0.0864, 2.2000, -33.9614);336.8167;0.0000;55.6501;;
39194.5436;(0.1174, 2.2000, -33.9482);337.2678;0.0000;56.0191;;
39194.5604;(0.1520, 2.2000, -33.9336);337.8174;0.0000;56.4205;;
39194.5770;(0.1899, 2.2000, -33.9182);338.4775;0.0000;56.7403;;
39194.5937;(0.2309, 2.2000, -33.9020);339.2360;0.0000;57.0596;;
39194.6268;(0.2747, 2.2000, -33.8854);341.0461;0.0000;57.6830;;
39194.6434;(0.3214, 2.2000, -33.8693);342.1201;0.0000;57.8787;;
39194.6894;(0.3705, 2.2000, -33.8535);343.2792;0.0000;58.1174;;
39194.7102;(0.4751, 2.2000, -33.8221);346.9311;0.0000;49.7668;;
39194.7269;(0.5307, 2.2000, -33.8091);347.8825;0.0000;49.6110;;
39194.7437;(0.5881, 2.2000, -33.7968);348.9363;0.0000;50.4682;;
39194.7603;(0.6469, 2.2000, -33.7853);350.2731;0.0000;51.2718;;
