***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-05-03-06-07-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39903.9785;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
39904.0119;(0.0000, 2.2000, -34.0000);335.7521;0.0000;211.3027;;
39904.0283;(0.0000, 2.2000, -34.0000);335.7521;0.0000;168.9251;;
39904.0452;(0.0000, 2.2000, -34.0000);335.7521;0.0000;143.5625;;
39904.0622;(0.0000, 2.2000, -34.0000);335.7521;0.0000;125.5737;;
39904.0790;(0.0000, 2.2000, -34.0000);335.7521;0.0000;112.7853;;
39904.1120;(0.0000, 2.2000, -34.0000);335.7521;0.0000;96.5634;;
39904.1285;(0.0000, 2.2000, -34.0000);335.7521;0.0000;91.2010;;
39904.1452;(0.0000, 2.2000, -34.0000);335.7521;0.0000;86.8454;;
39904.1621;(0.0000, 2.2000, -34.0000);335.7521;0.0000;83.1563;;
39904.1783;(0.0000, 2.2000, -34.0000);335.7521;0.0000;79.8792;;
39904.2115;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.3245;;
39904.2283;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.5743;;
39904.2451;(0.0000, 2.2000, -34.0000);335.7521;0.0000;71.9019;;
39904.2612;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.4491;;
39904.2783;(0.0000, 2.2000, -34.0000);335.7521;0.0000;69.4884;;
39904.3115;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.2098;;
39904.3285;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.5398;;
39904.3451;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.6735;;
39904.3616;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.1205;;
39904.3778;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.6014;;
39904.4113;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.8213;;
39904.4279;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.4149;;
39904.4446;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.0916;;
39904.4622;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.7378;;
39904.4790;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.0735;;
39904.5123;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.6107;;
39904.5286;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.4887;;
39904.5462;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.4793;;
39904.5632;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9583;;
39904.5942;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7364;;
39904.6109;(0.0000, 2.2000, -34.0000);335.7521;0.0000;55.8137;;
