***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "12-02-38-24-01-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
43358.3870;(0.0000, 2.2000, -34.0000);0.0000;0.0000;Infinity;;
43358.4038;(0.0000, 2.2000, -34.0000);0.0000;0.0000;309.2050;;
43358.4204;(0.0000, 2.2000, -34.0000);0.0000;0.0000;218.0602;;
43358.4371;(0.0000, 2.2000, -34.0000);0.0000;0.0000;172.8070;;
43358.4713;(0.0000, 2.2000, -34.0000);0.0000;0.0000;127.3569;;
43358.4880;(0.0000, 2.2000, -34.0000);0.0000;0.0000;113.2675;;
43358.5047;(0.0000, 2.2000, -34.0000);0.0000;0.0000;103.9891;;
43358.5211;(0.0000, 2.2000, -34.0000);0.0000;0.0000;96.8649;;
43358.5395;(0.0000, 2.2000, -34.0000);0.0000;0.0000;91.4914;;
43358.5564;(0.0000, 2.2000, -34.0000);0.0000;0.0000;85.6158;;
43358.5896;(0.0000, 2.2000, -34.0000);0.0000;0.0000;79.1809;;
43358.6063;(0.0000, 2.2000, -34.0000);0.0000;0.0000;76.7026;;
43358.6229;(0.0000, 2.2000, -34.0000);0.0000;0.0000;74.6367;;
43358.6395;(0.0000, 2.2000, -34.0000);0.0000;0.0000;72.8953;;
43358.6555;(0.0000, 2.2000, -34.0000);0.0000;0.0000;71.3823;;
43358.6889;(0.0000, 2.2000, -34.0000);0.0000;0.0000;69.1872;;
43358.7056;(0.0000, 2.2000, -34.0000);0.0000;0.0000;68.1018;;
43358.7222;(0.0000, 2.2000, -34.0000);0.0000;0.0000;67.1966;;
43358.7389;(0.0000, 2.2000, -34.0000);0.0000;0.0000;66.4146;;
43358.7554;(0.0000, 2.2000, -34.0000);0.0000;0.0000;65.6977;;
43358.7888;(0.0000, 2.2000, -34.0000);0.0000;0.0000;64.5345;;
43358.8055;(0.0000, 2.2000, -34.0000);0.0000;0.0000;64.0659;;
43358.8217;(0.0000, 2.2000, -34.0000);0.0000;0.0000;63.6341;;
43358.8387;(0.0000, 2.2000, -34.0000);0.0000;0.0000;63.4322;;
43358.8555;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.9653;;
43358.8889;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.2902;;
43358.9053;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.0513;;
43358.9223;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.9643;;
43358.9394;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.6451;;
43358.9564;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.2558;;
43358.9896;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.0042;;
43359.0062;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.8888;;
43359.0229;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.8223;;
43359.0393;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.7275;;
43359.0560;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.7363;;
43359.0890;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.5699;;
43359.1060;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.6441;;
43359.1226;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.4650;;
43359.1394;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.4261;;
