***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-54-03-06-12-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
57243.7020;(0.0000, 2.2000, -34.0000);0.0000;0.0000;Infinity;;
57243.7187;(0.0000, 2.2000, -34.0000);0.0000;0.0000;294.1869;;
57243.7354;(0.0000, 2.2000, -34.0000);0.0000;0.0000;211.2164;;
57243.7521;(0.0000, 2.2000, -34.0000);0.0000;0.0000;168.7641;;
57243.7853;(0.0000, 2.2000, -34.0000);0.0000;0.0000;125.5315;;
57243.8019;(0.0000, 2.2000, -34.0000);0.0000;0.0000;113.2641;;
57243.8187;(0.0000, 2.2000, -34.0000);0.0000;0.0000;104.0526;;
57243.8354;(0.0000, 2.2000, -34.0000);0.0000;0.0000;96.8197;;
57243.8520;(0.0000, 2.2000, -34.0000);0.0000;0.0000;91.2298;;
57243.8858;(0.0000, 2.2000, -34.0000);0.0000;0.0000;83.0750;;
57243.9033;(0.0000, 2.2000, -34.0000);0.0000;0.0000;79.6363;;
57243.9192;(0.0000, 2.2000, -34.0000);0.0000;0.0000;76.7166;;
57243.9359;(0.0000, 2.2000, -34.0000);0.0000;0.0000;75.0189;;
57243.9525;(0.0000, 2.2000, -34.0000);0.0000;0.0000;73.1674;;
57243.9859;(0.0000, 2.2000, -34.0000);0.0000;0.0000;70.2413;;
57244.0019;(0.0000, 2.2000, -34.0000);0.0000;0.0000;69.0819;;
57244.0187;(0.0000, 2.2000, -34.0000);0.0000;0.0000;68.3115;;
57244.0354;(0.0000, 2.2000, -34.0000);0.0000;0.0000;67.3218;;
57244.0519;(0.0000, 2.2000, -34.0000);0.0000;0.0000;66.5259;;
57244.0853;(0.0000, 2.2000, -34.0000);0.0000;0.0000;65.1911;;
57244.1017;(0.0000, 2.2000, -34.0000);0.0000;0.0000;64.6284;;
57244.1184;(0.0000, 2.2000, -34.0000);0.0000;0.0000;64.2551;;
57244.1351;(0.0000, 2.2000, -34.0000);0.0000;0.0000;63.7834;;
57244.1517;(0.0000, 2.2000, -34.0000);0.0000;0.0000;63.3848;;
57244.1850;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.7183;;
57244.2015;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.4568;;
57244.2183;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.2697;;
57244.2349;(0.0000, 2.2000, -34.0000);0.0000;0.0000;62.0088;;
57244.2516;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.8155;;
57244.2858;(0.0000, 2.2000, -34.0000);0.0000;0.0000;61.4907;;
57244.3027;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.9554;;
57244.3193;(0.0000, 2.2000, -34.0000);0.0000;0.0000;60.8158;;
