***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "09-30-53-17-07-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
34253.3906;(0.0000, 2.2014, -34.0000);335.7521;0.0000;Infinity;;
34253.4073;(0.0000, 2.2014, -34.0000);335.7521;0.0000;334.2035;;
34253.4269;(0.0000, 2.2014, -34.0000);335.7521;0.0000;229.4642;;
34253.4438;(0.0000, 2.2014, -34.0000);335.7521;0.0000;169.9935;;
34253.4770;(0.0000, 2.2014, -34.0000);335.7521;0.0000;126.0484;;
34253.4936;(0.0000, 2.2014, -34.0000);335.7521;0.0000;113.4428;;
34253.5110;(0.0000, 2.2014, -34.0000);335.7521;0.0000;104.2273;;
34253.5277;(0.0000, 2.2014, -34.0000);335.7521;0.0000;96.3673;;
34253.5445;(0.0000, 2.2014, -34.0000);335.7521;0.0000;90.8465;;
34253.5774;(0.0000, 2.2014, -34.0000);335.7521;0.0000;82.7018;;
34253.5940;(0.0000, 2.2014, -34.0000);335.7521;0.0000;79.9746;;
34253.6110;(0.0000, 2.2014, -34.0000);335.7521;0.0000;77.4115;;
34253.6429;(0.0000, 2.2014, -34.0000);335.7521;0.0000;75.0352;;
34253.6596;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.8711;;
34253.6760;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.2135;;
34253.6929;(0.0000, 2.2014, -34.0000);335.7521;0.0000;64.7395;;
34253.7093;(0.0000, 2.2014, -34.0000);335.7521;0.0000;64.1569;;
34253.7266;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.7942;;
34253.7587;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.1554;;
34253.7755;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.2608;;
34253.7922;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.5087;;
34253.8104;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.7401;;
34253.8271;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.4396;;
34253.8437;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.6677;;
34253.8768;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.1292;;
34253.8937;(0.0000, 2.2003, -34.0000);335.7521;0.0000;58.3905;;
34253.9104;(0.0000, 2.2001, -34.0000);335.7521;0.0000;58.4612;;
34253.9272;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.5864;;
34253.9439;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.6984;;
34253.9771;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.9818;;
34253.9937;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0879;;
34254.0110;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.1774;;
34254.0277;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0461;;
34254.0444;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.1289;;
