***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-50-01-30-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
57001.3196;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
57001.3355;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.5588;;
57001.3521;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.7796;;
57001.3874;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.0337;;
57001.4035;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.3847;;
57001.4202;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.2751;;
57001.4366;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.9017;;
57001.4534;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.7213;;
57001.4863;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.1200;;
57001.5030;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.0591;;
57001.5194;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8448;;
57001.5507;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.7365;;
57001.5674;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.5068;;
57001.5869;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.8147;;
57001.6189;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.2007;;
57001.6357;(0.0000, 2.2000, -34.0000);335.7521;0.0000;52.0415;;
57001.6520;(0.0000, 2.2000, -34.0000);335.7521;0.0000;52.7154;;
57001.6856;(0.0000, 2.2000, -34.0000);335.7521;0.0000;54.0441;;
57001.7024;(0.0000, 2.2000, -34.0000);335.7521;0.0000;54.5041;;
57001.7190;(0.0000, 2.2000, -34.0000);335.7521;0.0000;54.9939;;
57001.7349;(0.0000, 2.2000, -34.0000);335.7521;0.0000;55.4729;;
57001.7683;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.4983;;
57001.7849;(0.0000, 2.2000, -34.0000);335.7521;0.0000;56.8037;;
57001.8015;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.1179;;
57001.8186;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.4304;;
57001.8354;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.5155;;
57001.8519;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.7118;;
57001.8854;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.1708;;
57001.9015;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.3387;;
57001.9186;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.6474;;
57001.9347;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.6450;;
57001.9682;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0151;;
57001.9846;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.1369;;
57002.0023;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.3038;;
57002.0190;(0.0000, 2.2000, -34.0000);335.7521;0.0000;58.9905;;
57002.0355;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.0765;;
57002.0524;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.2165;;
57002.0853;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.3675;;
57002.1023;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5497;;
57002.1188;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.4484;;
57002.1357;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5479;;
57002.1523;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5377;;
57002.1852;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6606;;
57002.2027;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8450;;
57002.2196;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5282;;
57002.2361;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.5211;;
57002.2530;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6089;;
57002.2861;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6787;;
57002.3023;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7370;;
57002.3189;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9526;;
57002.3355;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9382;;
57002.3522;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9557;;
57002.3854;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9906;;
57002.4024;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0357;;
57002.4185;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9241;;
57002.4349;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1026;;
57002.4684;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1435;;
57002.4851;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1087;;
57002.5013;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1013;;
57002.5501;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2573;;
57002.5668;(0.0000, 2.2000, -34.0000);335.7521;0.0000;50.4534;;
