***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-09-10-09-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
54550.9789;(-0.5606, 2.2000, -34.5999);302.1166;0.0000;Infinity;;
54551.0123;(-0.5606, 2.2000, -34.5999);302.1674;0.0000;233.6723;;
54551.0316;(-0.5606, 2.2000, -34.5999);302.1850;0.0000;181.4341;;
54551.0485;(-0.5606, 2.2000, -34.5999);302.2068;0.0000;145.1130;;
54551.0651;(-0.5606, 2.2000, -34.5999);302.2258;0.0000;126.7706;;
54551.0818;(-0.5606, 2.2000, -34.5999);302.2453;0.0000;114.1392;;
54551.0985;(-0.5606, 2.2000, -34.5999);302.2654;0.0000;104.7174;;
54551.1318;(-0.5606, 2.2000, -34.5999);302.3068;0.0000;91.7781;;
54551.1478;(-0.5606, 2.2000, -34.5999);302.3279;0.0000;87.1569;;
54551.1644;(-0.5606, 2.2000, -34.5999);302.3484;0.0000;83.8040;;
54551.1809;(-0.5606, 2.2000, -34.5999);302.3699;0.0000;80.6234;;
54551.2144;(-0.5606, 2.2000, -34.5999);302.4128;0.0000;75.7852;;
54551.2310;(-0.5606, 2.2000, -34.5999);302.4346;0.0000;73.7551;;
54551.2473;(-0.5606, 2.2000, -34.5999);302.4561;0.0000;72.1249;;
54551.2641;(-0.5606, 2.2000, -34.5999);302.4772;0.0000;70.8740;;
54551.2808;(-0.5606, 2.2000, -34.5999);302.4991;0.0000;69.5594;;
54551.3140;(-0.5606, 2.2000, -34.5999);302.5420;0.0000;67.5998;;
54551.3311;(-0.5606, 2.2000, -34.5999);302.5639;0.0000;66.6856;;
54551.3481;(-0.5606, 2.2000, -34.5999);302.5861;0.0000;65.7412;;
54551.3647;(-0.5606, 2.2000, -34.5999);302.6076;0.0000;65.0544;;
54551.3814;(-0.5606, 2.2000, -34.5999);302.6290;0.0000;64.5183;;
54551.3979;(-0.5606, 2.2000, -34.5999);302.6504;0.0000;64.0393;;
54551.4314;(-0.5606, 2.2000, -34.5999);302.6932;0.0000;63.2664;;
54551.4472;(-0.5606, 2.2000, -34.5999);302.7148;0.0000;62.9178;;
54551.4641;(-0.5606, 2.2000, -34.5999);302.7355;0.0000;62.8690;;
54551.4807;(-0.5606, 2.2000, -34.5999);302.7575;0.0000;62.5118;;
54551.5139;(-0.5606, 2.2000, -34.5999);302.8008;0.0000;62.0279;;
54551.5311;(-0.5606, 2.2000, -34.5999);302.8222;0.0000;61.8770;;
54551.5477;(-0.5606, 2.2000, -34.5999);302.8445;0.0000;61.4795;;
54551.5646;(-0.5606, 2.2000, -34.5999);302.8659;0.0000;61.3447;;
54551.5809;(-0.5606, 2.2000, -34.5999);302.8876;0.0000;61.1423;;
54551.5979;(-0.5606, 2.2000, -34.5999);302.9086;0.0000;61.1499;;
54551.6306;(-0.5606, 2.2000, -34.5999);302.9519;0.0000;60.8617;;
54551.6471;(-0.5606, 2.2000, -34.5999);302.9727;0.0000;60.9740;;
54551.6640;(-0.5606, 2.2000, -34.5999);302.9944;0.0000;60.9054;;
54551.6806;(-0.5606, 2.2000, -34.5999);303.0163;0.0000;60.7574;;
54551.7139;(-0.5606, 2.2000, -34.5999);303.0591;0.0000;60.7254;;
54551.7306;(-0.5606, 2.2000, -34.5999);303.0811;0.0000;60.5700;;
54551.7473;(-0.5606, 2.2000, -34.5999);303.1027;0.0000;60.5029;;
54551.7642;(-0.5606, 2.2000, -34.5999);303.1244;0.0000;60.4094;;
54551.7808;(-0.5606, 2.2000, -34.5999);303.1461;0.0000;60.3149;;
54551.8142;(-0.5606, 2.2000, -34.5999);303.1891;0.0000;60.2491;;
54551.8305;(-0.5606, 2.2000, -34.5999);303.2104;0.0000;60.2526;;
54551.8469;(-0.5606, 2.2000, -34.5999);303.2316;0.0000;60.3332;;
54551.8637;(-0.5606, 2.2000, -34.5999);303.2530;0.0000;60.3706;;
54551.8804;(-0.5606, 2.2000, -34.5999);303.2748;0.0000;60.3085;;
54551.9137;(-0.5606, 2.2000, -34.5999);303.3180;0.0000;60.2631;;
54551.9304;(-0.5606, 2.2000, -34.5999);303.3396;0.0000;60.2366;;
54551.9476;(-0.5606, 2.2000, -34.5999);303.3612;0.0000;60.2040;;
54551.9641;(-0.5606, 2.2000, -34.5999);303.3835;0.0000;59.9881;;
54551.9810;(-0.5606, 2.2000, -34.5999);303.4048;0.0000;60.0165;;
54551.9977;(-0.5606, 2.2000, -34.5999);303.4265;0.0000;59.9331;;
54552.0310;(-0.5606, 2.2000, -34.5999);303.4692;0.0000;59.9836;;
54552.0469;(-0.5606, 2.2000, -34.5999);303.4908;0.0000;59.9635;;
54552.0637;(-0.5606, 2.2000, -34.5999);303.5114;0.0000;60.2089;;
54552.0804;(-0.5606, 2.2000, -34.5999);303.5333;0.0000;60.1614;;
54552.1136;(-0.5606, 2.2000, -34.5999);303.5765;0.0000;60.1512;;
54552.1304;(-0.5606, 2.2000, -34.5999);303.5981;0.0000;60.1565;;
54552.1471;(-0.5606, 2.2000, -34.5999);303.6198;0.0000;60.1136;;
54552.1639;(-0.5606, 2.2000, -34.5999);303.6415;0.0000;60.0696;;
54552.1806;(-0.5606, 2.2000, -34.5999);303.6632;0.0000;60.0146;;
54552.2139;(-0.5606, 2.2000, -34.5999);303.7062;0.0000;60.0161;;
54552.2301;(-0.5606, 2.2000, -34.5999);303.7277;0.0000;60.0240;;
54552.2471;(-0.5606, 2.2000, -34.5999);303.7487;0.0000;60.1660;;
54552.2639;(-0.5606, 2.2000, -34.5999);303.7708;0.0000;60.0413;;
54552.2806;(-0.5606, 2.2000, -34.5999);303.7925;0.0000;60.0031;;
54552.3138;(-0.5606, 2.2000, -34.5999);303.8354;0.0000;60.0121;;
54552.3312;(-0.5606, 2.2000, -34.5999);303.8569;0.0000;60.0248;;
54552.3480;(-0.5606, 2.2000, -34.5999);303.8795;0.0000;59.7582;;
54552.3647;(-0.5606, 2.2000, -34.5999);303.9009;0.0000;59.7336;;
54552.3814;(-0.5606, 2.2000, -34.5999);303.9221;0.0000;59.7718;;
54552.3980;(-0.5606, 2.2000, -34.5999);303.9436;0.0000;59.7880;;
54552.4312;(-0.5606, 2.2000, -34.5999);303.9864;0.0000;59.8590;;
54552.4473;(-0.5606, 2.2000, -34.5999);304.0078;0.0000;59.8931;;
54552.4640;(-0.5606, 2.2000, -34.5999);304.0287;0.0000;60.0886;;
54552.4806;(-0.5606, 2.2000, -34.5999);304.0504;0.0000;60.0847;;
54552.5139;(-0.5606, 2.2000, -34.5999);304.0933;0.0000;60.2120;;
54552.5312;(-0.5606, 2.2000, -34.5999);304.1154;0.0000;60.0828;;
54552.5479;(-0.5606, 2.2000, -34.5999);304.1378;0.0000;59.8640;;
54552.5646;(-0.5606, 2.2000, -34.5999);304.1593;0.0000;59.8341;;
54552.5813;(-0.5606, 2.2000, -34.5999);304.1805;0.0000;59.8821;;
54552.5979;(-0.5606, 2.2000, -34.5999);304.2021;0.0000;59.8568;;
54552.6314;(-0.5606, 2.2000, -34.5999);304.2446;0.0000;60.0250;;
54552.6483;(-0.5606, 2.2000, -34.5999);304.2670;0.0000;59.8178;;
54552.6649;(-0.5606, 2.2000, -34.5999);304.2886;0.0000;59.7753;;
54552.6816;(-0.5606, 2.2000, -34.5999);304.3099;0.0000;59.8137;;
54552.6982;(-0.5606, 2.2000, -34.5999);304.3314;0.0000;59.8161;;
54552.7315;(-0.5606, 2.2000, -34.5999);304.3743;0.0000;59.8756;;
54552.7476;(-0.5606, 2.2000, -34.5999);304.3957;0.0000;59.9191;;
54552.7641;(-0.5606, 2.2000, -34.5999);304.4166;0.0000;60.1187;;
54552.7809;(-0.5606, 2.2000, -34.5999);304.4381;0.0000;60.1751;;
54552.8143;(-0.5606, 2.2000, -34.5999);304.4817;0.0000;60.0970;;
54552.8309;(-0.5606, 2.2000, -34.5999);304.5033;0.0000;60.0901;;
54552.8474;(-0.5606, 2.2000, -34.5999);304.5250;0.0000;60.0755;;
54552.8641;(-0.5606, 2.2000, -34.5999);304.5463;0.0000;60.1423;;
54552.8808;(-0.5606, 2.2000, -34.5999);304.5681;0.0000;60.0813;;
54552.9141;(-0.5606, 2.2000, -34.5999);304.6112;0.0000;60.0736;;
54552.9308;(-0.5606, 2.2000, -34.5999);304.6328;0.0000;60.0705;;
54552.9474;(-0.5606, 2.2000, -34.5999);304.6543;0.0000;60.0633;;
54552.9642;(-0.5606, 2.2000, -34.5999);304.6758;0.0000;60.0828;;
54552.9808;(-0.5606, 2.2000, -34.5999);304.6976;0.0000;60.0160;;
54553.0142;(-0.5606, 2.2000, -34.5999);304.7406;0.0000;60.0277;;
54553.0315;(-0.5606, 2.2000, -34.5999);304.7621;0.0000;60.0252;;
54553.0483;(-0.5606, 2.2000, -34.5999);304.7846;0.0000;59.7672;;
54553.0650;(-0.5606, 2.2000, -34.5999);304.8061;0.0000;59.7388;;
54553.0818;(-0.5606, 2.2000, -34.5999);304.8274;0.0000;59.7650;;
54553.0983;(-0.5606, 2.2000, -34.5999);304.8488;0.0000;59.7819;;
54553.1316;(-0.5606, 2.2000, -34.5999);304.8916;0.0000;59.8447;;
54553.1476;(-0.5606, 2.2000, -34.5999);304.9130;0.0000;59.8812;;
54553.1644;(-0.5606, 2.2000, -34.5999);304.9337;0.0000;60.1270;;
54553.1811;(-0.5606, 2.2000, -34.5999);304.9557;0.0000;60.0777;;
54553.2140;(-0.5606, 2.2000, -34.5999);304.9988;0.0000;60.0976;;
54553.2312;(-0.5606, 2.2000, -34.5999);305.0201;0.0000;60.1951;;
54553.2481;(-0.5606, 2.2000, -34.5999);305.0426;0.0000;59.9654;;
54553.2647;(-0.5606, 2.2000, -34.5999);305.0643;0.0000;59.9037;;
54553.2813;(-0.5606, 2.2000, -34.5999);305.0857;0.0000;59.9308;;
54553.2979;(-0.5606, 2.2000, -34.5999);305.1071;0.0000;59.9595;;
54553.3312;(-0.5606, 2.2000, -34.5999);305.1501;0.0000;59.9685;;
54553.3480;(-0.5606, 2.2000, -34.5999);305.1715;0.0000;59.9992;;
54553.3647;(-0.5606, 2.2000, -34.5999);305.1933;0.0000;59.9571;;
54553.3813;(-0.5606, 2.2000, -34.5999);305.2148;0.0000;59.9562;;
54553.4146;(-0.5606, 2.2000, -34.5999);305.2574;0.0000;60.0853;;
54553.4312;(-0.5606, 2.2000, -34.5999);305.2794;0.0000;59.9765;;
54553.4473;(-0.5606, 2.2000, -34.5999);305.3008;0.0000;60.0187;;
54553.4639;(-0.5606, 2.2000, -34.5999);305.3218;0.0000;60.1977;;
54553.4806;(-0.5606, 2.2000, -34.5999);305.3434;0.0000;60.1998;;
54553.5039;(-0.5606, 2.2000, -34.5999);305.3652;0.0000;60.1768;;
54553.5208;(-0.5606, 2.2000, -34.5999);305.3955;0.0000;57.8431;;
54553.5541;(-0.5606, 2.2000, -34.5999);305.4345;0.0000;58.1623;;
54553.5708;(-0.5606, 2.2000, -34.5999);305.4547;0.0000;58.3736;;
54553.5874;(-0.5606, 2.2000, -34.5999);305.4754;0.0000;58.5249;;
54553.6041;(-0.5606, 2.2000, -34.5999);305.4963;0.0000;58.6842;;
54553.6201;(-0.5606, 2.2000, -34.5999);305.5174;0.0000;58.8137;;
54553.6535;(-0.5606, 2.2000, -34.5999);305.5595;0.0000;59.2233;;
54553.6701;(-0.5606, 2.2000, -34.5999);305.5810;0.0000;59.3204;;
