***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-38-25-16-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
56305.5194;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
56305.5538;(0.0000, 2.2000, -34.0000);335.7521;0.0000;157.4232;;
56305.5706;(0.0000, 2.2000, -34.0000);335.7521;0.0000;107.1654;;
56305.5872;(0.0000, 2.2000, -34.0000);335.7521;0.0000;99.2878;;
56305.6038;(0.0000, 2.2000, -34.0000);335.7521;0.0000;93.1753;;
56305.6375;(0.0000, 2.2000, -34.0000);335.7521;0.0000;84.4190;;
56305.6542;(0.0000, 2.2000, -34.0000);335.7521;0.0000;80.8145;;
56305.6710;(0.0000, 2.2000, -34.0000);335.7521;0.0000;78.0914;;
56305.6876;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.7779;;
56305.7042;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.8340;;
56305.7209;(0.0000, 2.2000, -34.0000);335.7521;0.0000;72.2094;;
56305.7547;(0.0000, 2.2000, -34.0000);335.7521;0.0000;69.3787;;
56305.7711;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.2483;;
56305.7879;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.3975;;
56305.8046;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.5517;;
56305.8209;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.8145;;
56305.8546;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.6702;;
56305.8712;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.1151;;
56305.8878;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.6912;;
56305.9044;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.3212;;
56305.9211;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.9955;;
56305.9552;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.1976;;
56305.9715;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8838;;
56305.9884;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8128;;
56306.0047;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5437;;
56306.0217;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5186;;
56306.0550;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2033;;
56306.0715;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.0162;;
56306.0879;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9541;;
56306.1047;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9614;;
56306.1216;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8346;;
56306.1543;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8490;;
56306.1709;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7522;;
56306.1876;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6907;;
56306.2042;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6094;;
56306.2208;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5731;;
56306.2549;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2498;;
56306.2715;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1583;;
56306.2878;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1872;;
56306.3049;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2785;;
56306.3215;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1374;;
56306.3542;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1169;;
56306.3709;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3197;;
56306.3875;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2853;;
56306.4042;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2823;;
56306.4208;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2368;;
56306.4547;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0309;;
56306.4714;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9917;;
56306.4881;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9910;;
56306.5047;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9849;;
56306.5210;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0115;;
56306.6698;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1376;;
56306.6867;(0.0000, 2.2000, -34.0000);335.7521;0.0000;33.4999;;
56306.7033;(0.0000, 2.2000, -34.0000);335.7521;0.0000;35.0290;;
56306.7378;(0.0000, 2.2000, -34.0000);335.7521;0.0000;38.0450;;
56306.7546;(0.0000, 2.2000, -34.0000);335.7521;0.0000;39.2961;;
56306.7713;(0.0000, 2.2000, -34.0000);335.7521;0.0000;40.6887;;
56306.7879;(0.0000, 2.2000, -34.0000);335.7521;0.0000;42.0430;;
56306.8045;(0.0000, 2.2000, -34.0000);335.7521;0.0000;43.3327;;
56306.8213;(0.0000, 2.2000, -34.0000);335.7521;0.0000;44.5903;;
56306.8552;(0.0000, 2.2000, -34.0000);335.7521;0.0000;46.7764;;
