***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-54-45-16-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
57285.7140;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
57285.7309;(0.0000, 2.2000, -34.0000);335.7521;0.0000;414.4221;;
57285.7503;(0.0000, 2.2000, -34.0000);335.7521;0.0000;259.6455;;
57285.7669;(0.0000, 2.2000, -34.0000);335.7521;0.0000;184.8100;;
57285.7837;(0.0000, 2.2000, -34.0000);335.7521;0.0000;153.0489;;
57285.8003;(0.0000, 2.2000, -34.0000);335.7521;0.0000;132.4052;;
57285.8344;(0.0000, 2.2000, -34.0000);335.7521;0.0000;107.7222;;
57285.8512;(0.0000, 2.2000, -34.0000);335.7521;0.0000;99.0332;;
57285.8677;(0.0000, 2.2000, -34.0000);335.7521;0.0000;92.8742;;
57285.8845;(0.0000, 2.2000, -34.0000);335.7521;0.0000;88.2236;;
57285.9011;(0.0000, 2.2000, -34.0000);335.7521;0.0000;84.1216;;
57285.9345;(0.0000, 2.2000, -34.0000);335.7521;0.0000;78.1745;;
57285.9513;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.8477;;
57285.9680;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.8505;;
57285.9846;(0.0000, 2.2000, -34.0000);335.7521;0.0000;72.1605;;
57286.0012;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.7499;;
57286.0340;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.4317;;
57286.0506;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.7479;;
57286.0672;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.9190;;
57286.0839;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.2072;;
57286.1006;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.4863;;
57286.1345;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.3587;;
57286.1514;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.6593;;
57286.1680;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.1949;;
57286.1846;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.8881;;
57286.2013;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.5950;;
57286.2341;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.2486;;
57286.2507;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.0507;;
57286.2673;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8885;;
57286.2840;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.6954;;
57286.3002;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5403;;
57286.3338;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2721;;
57286.3504;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1435;;
57286.3671;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.0456;;
57286.3838;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9204;;
57286.4004;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8052;;
57286.4352;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2213;;
57286.4518;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1299;;
57286.4684;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1573;;
57286.4848;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1457;;
57286.5017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2208;;
57286.5344;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1574;;
57286.5513;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3032;;
57286.5677;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2305;;
57286.5842;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2835;;
57286.6012;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3080;;
57286.6347;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1816;;
57286.6515;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0357;;
