***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "16-21-06-16-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
58866.4321;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
58866.4490;(0.0000, 2.2000, -34.0000);335.7521;0.0000;382.8194;;
58866.4656;(0.0000, 2.2000, -34.0000);335.7521;0.0000;247.8454;;
58866.4840;(0.0000, 2.2000, -34.0000);335.7521;0.0000;188.8432;;
58866.5008;(0.0000, 2.2000, -34.0000);335.7521;0.0000;151.3121;;
58866.5174;(0.0000, 2.2000, -34.0000);335.7521;0.0000;131.1548;;
58866.5508;(0.0000, 2.2000, -34.0000);335.7521;0.0000;107.0843;;
58866.5677;(0.0000, 2.2000, -34.0000);335.7521;0.0000;99.2508;;
58866.5844;(0.0000, 2.2000, -34.0000);335.7521;0.0000;92.8993;;
58866.6012;(0.0000, 2.2000, -34.0000);335.7521;0.0000;88.0335;;
58866.6177;(0.0000, 2.2000, -34.0000);335.7521;0.0000;84.0430;;
58866.6510;(0.0000, 2.2000, -34.0000);335.7521;0.0000;78.2083;;
58866.6678;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.8914;;
58866.6845;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.8505;;
58866.7012;(0.0000, 2.2000, -34.0000);335.7521;0.0000;72.1685;;
58866.7180;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.7698;;
58866.7509;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.4406;;
58866.7679;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.5722;;
58866.7847;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.5854;;
58866.8013;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.8325;;
58866.8180;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.2113;;
58866.8514;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.1757;;
58866.8682;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.7122;;
58866.8850;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.2286;;
58866.9017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.8473;;
58866.9183;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.5492;;
58866.9512;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.1872;;
58866.9683;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.9792;;
58866.9851;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5927;;
58867.0017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.4035;;
58867.0186;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2860;;
58867.0352;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1095;;
58867.0683;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9237;;
58867.0852;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8614;;
58867.1017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7039;;
58867.1185;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6658;;
58867.1350;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5973;;
58867.1680;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5709;;
58867.1848;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5564;;
58867.2015;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4830;;
58867.2183;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4113;;
58867.2348;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3712;;
58867.2679;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3123;;
58867.2847;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3729;;
58867.3013;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3014;;
58867.3177;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2663;;
58867.3513;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2436;;
58867.3681;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2056;;
58867.3848;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1273;;
58867.4015;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0815;;
58867.4182;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0649;;
58867.4512;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2051;;
58867.4675;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1443;;
58867.4842;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2707;;
58867.5009;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2357;;
58867.5176;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1996;;
58867.5520;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1823;;
58867.5690;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7223;;
58867.5855;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6864;;
58867.6022;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7488;;
58867.6184;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7605;;
58867.6350;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9459;;
58867.6681;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9744;;
58867.6848;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0662;;
58867.7013;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0548;;
58867.7182;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0928;;
58867.7349;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9991;;
58867.7691;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7179;;
58867.7858;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7096;;
58867.8026;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7169;;
58867.8191;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7503;;
58867.8359;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7905;;
58867.8685;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8675;;
58867.8850;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0734;;
58867.9018;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1295;;
58867.9184;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0453;;
58867.9351;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0598;;
58867.9685;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0509;;
58867.9852;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0147;;
58868.0019;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0178;;
58868.0184;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0098;;
58868.0356;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0371;;
58868.0692;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8261;;
58868.0859;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8032;;
58868.1026;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8106;;
58868.1188;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8272;;
58868.1362;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0085;;
58868.1695;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6846;;
58868.1862;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7965;;
58868.2030;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8120;;
58868.2197;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7924;;
58868.2363;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8012;;
58868.2690;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1142;;
58868.2857;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0611;;
58868.3023;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0347;;
58868.3190;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0766;;
58868.3356;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0587;;
58868.3683;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2723;;
58868.3850;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2575;;
58868.4017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2272;;
58868.4181;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1981;;
58868.4360;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2739;;
58868.4695;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7681;;
58868.4859;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7857;;
58868.5028;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9005;;
58868.5189;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8143;;
58868.5362;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0241;;
58868.5696;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7895;;
58868.5864;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8315;;
58868.6030;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8303;;
58868.6197;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8549;;
58868.6358;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8682;;
58868.6688;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1052;;
58868.6855;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1622;;
58868.7020;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1299;;
58868.7188;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1830;;
58868.7359;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1059;;
58868.7691;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9470;;
58868.7858;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9824;;
58868.8025;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9672;;
58868.8191;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9865;;
58868.8356;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9892;;
58868.8689;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0449;;
58868.8856;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0692;;
58868.9022;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0481;;
58868.9188;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0604;;
58868.9354;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0770;;
58868.9686;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1289;;
58868.9853;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1296;;
58869.0017;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1046;;
58869.0198;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1967;;
58869.0363;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6660;;
58869.0698;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7341;;
58869.0863;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7680;;
58869.1027;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8318;;
58869.1200;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9327;;
58869.1366;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7274;;
58869.1772;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7728;;
58869.2577;(0.0000, 2.2000, -34.0000);335.7521;0.0000;57.3112;;
58869.3188;(0.0000, 2.2000, -34.0000);335.7521;0.0000;42.1036;;
58869.3804;(0.0000, 2.2000, -34.0000);335.7521;0.0000;36.3793;;
58869.4044;(0.0000, 2.2000, -34.0000);335.7521;0.0000;32.3701;;
58869.4213;(0.0000, 2.2000, -34.0000);335.7521;0.0000;33.1019;;
58869.4379;(0.0000, 2.2000, -34.0000);335.7521;0.0000;34.6438;;
58869.4709;(0.0000, 2.2000, -34.0000);335.7521;0.0000;37.6657;;
58869.4878;(0.0000, 2.2000, -34.0000);335.7521;0.0000;39.1678;;
58869.5046;(0.0000, 2.2000, -34.0000);335.7521;0.0000;40.5456;;
58869.5204;(0.0000, 2.2000, -34.0000);335.7521;0.0000;41.9018;;
58869.5373;(0.0000, 2.2000, -34.0000);335.7521;0.0000;43.3291;;
58869.5706;(0.0000, 2.2000, -34.0000);335.7521;0.0000;45.7348;;
58869.5871;(0.0000, 2.2000, -34.0000);335.7521;0.0000;46.8385;;
58869.6039;(0.0000, 2.2000, -34.0000);335.7521;0.0000;47.9176;;
58869.6201;(0.0000, 2.2000, -34.0000);335.7521;0.0000;48.8956;;
58869.6369;(0.0000, 2.2000, -34.0000);335.7521;0.0000;49.8893;;
58869.6703;(0.0000, 2.2000, -34.0000);335.7521;0.0000;51.5199;;
58869.6870;(0.0000, 2.2000, -34.0000);335.7521;0.0000;52.2590;;
