***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "14-07-32-01-06-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
50852.1420;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
50852.1655;(0.0000, 2.2000, -34.0000);335.7521;0.0000;77.4168;;
50852.1935;(0.0000, 2.2000, -34.0000);335.7521;0.0000;71.0288;;
50852.2269;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.1834;;
50852.2437;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.6856;;
50852.2616;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.2631;;
50852.2785;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.4025;;
50852.2950;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.0917;;
50852.3283;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.7560;;
50852.3450;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5806;;
50852.3615;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.3828;;
50852.3783;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2952;;
50852.3949;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1328;;
50852.4281;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9130;;
50852.4445;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9115;;
50852.4613;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8893;;
50852.4780;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7544;;
50852.4947;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6654;;
50852.5281;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6033;;
50852.5446;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4844;;
50852.5613;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4746;;
50852.5781;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3837;;
50852.5946;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3239;;
50852.6278;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2891;;
50852.6456;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3116;;
50852.6623;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8501;;
50852.6791;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8868;;
50852.6958;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8478;;
50852.7289;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0009;;
50852.7461;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9377;;
50852.7622;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7537;;
50852.7790;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9890;;
50852.7956;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9654;;
