***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "10-26-31-18-05-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
37592.0172;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
37592.0480;(0.0000, 2.2000, -34.0000);335.7521;0.0000;146.2650;;
37592.0814;(0.0000, 2.2000, -34.0000);335.7521;0.0000;99.1986;;
37592.0981;(0.0000, 2.2000, -34.0000);335.7521;0.0000;93.1992;;
37592.1147;(0.0000, 2.2000, -34.0000);335.7521;0.0000;88.3172;;
37592.1315;(0.0000, 2.2000, -34.0000);335.7521;0.0000;84.3587;;
37592.1479;(0.0000, 2.2000, -34.0000);335.7521;0.0000;80.9826;;
37592.1812;(0.0000, 2.2000, -34.0000);335.7521;0.0000;76.0427;;
37592.1980;(0.0000, 2.2000, -34.0000);335.7521;0.0000;74.1248;;
37592.2145;(0.0000, 2.2000, -34.0000);335.7521;0.0000;72.3925;;
37592.2311;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.9687;;
37592.2483;(0.0000, 2.2000, -34.0000);335.7521;0.0000;69.7221;;
37592.2817;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.3722;;
37592.2985;(0.0000, 2.2000, -34.0000);335.7521;0.0000;66.5556;;
37592.3151;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.8032;;
37592.3318;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.1765;;
37592.3481;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.6853;;
37592.3814;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.8381;;
37592.3982;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.4032;;
37592.4146;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.0197;;
37592.4321;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.7748;;
37592.4489;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.1811;;
37592.4656;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.9001;;
37592.4985;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5799;;
37592.5154;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5299;;
37592.5316;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2729;;
37592.5482;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.3305;;
37592.5815;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1149;;
37592.5982;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.0033;;
37592.6149;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8946;;
37592.6321;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7935;;
37592.6489;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4931;;
37592.6821;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3862;;
37592.6989;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3873;;
37592.7155;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2991;;
37592.7316;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2824;;
37592.7482;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4502;;
37592.7815;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3968;;
37592.7982;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3688;;
37592.8148;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3327;;
37592.8315;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3100;;
37592.8480;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2853;;
37592.8814;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1924;;
37592.8981;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2233;;
37592.9147;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1924;;
37592.9314;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1875;;
