***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "15-00-49-19-07-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
54049.1660;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
54049.1818;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.2053;;
54049.2006;(0.0000, 2.2000, -34.0000);335.7521;0.0000;67.2330;;
54049.2174;(0.0000, 2.2000, -34.0000);335.7521;0.0000;65.4751;;
54049.2341;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.8660;;
54049.2506;(0.0000, 2.2000, -34.0000);335.7521;0.0000;64.3615;;
54049.2839;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.5051;;
54049.3006;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.1536;;
54049.3169;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.8201;;
54049.3338;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.6284;;
54049.3504;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.3034;;
54049.3837;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.8793;;
54049.4004;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.6974;;
54049.4170;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5209;;
54049.4339;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.3634;;
54049.4505;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1583;;
54049.4835;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9888;;
54049.5002;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9622;;
54049.5170;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8696;;
54049.5331;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.7301;;
54049.5497;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8418;;
54049.5831;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6909;;
54049.5997;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6272;;
54049.6163;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5763;;
54049.6330;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5272;;
54049.6497;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4652;;
54049.6830;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3881;;
54049.6997;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3530;;
54049.7167;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3225;;
54049.7335;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1493;;
54049.7500;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1017;;
54049.7834;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1044;;
54049.8001;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1209;;
54049.8168;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0751;;
54049.8334;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0656;;
54049.8501;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0377;;
54049.8831;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0362;;
54049.9005;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1816;;
54049.9178;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8719;;
54049.9339;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.6759;;
54049.9505;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8961;;
54049.9838;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9508;;
54050.0002;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9671;;
54050.0165;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0736;;
54050.0332;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1594;;
54050.0499;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1563;;
54050.0831;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1480;;
54050.0997;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1511;;
54050.1162;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1652;;
54050.1329;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1811;;
54050.1496;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1613;;
54050.1830;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1447;;
54050.1995;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1101;;
54050.2169;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1482;;
54050.2337;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8564;;
54050.2503;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8183;;
54050.2833;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8511;;
54050.2999;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0124;;
54050.3164;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0416;;
54050.3332;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0742;;
54050.3497;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0338;;
54050.3830;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1264;;
