***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "12-45-03-20-08-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
45903.5795;(0.0000, 2.2014, -34.0000);335.7521;0.0000;Infinity;;
45903.5952;(0.0000, 2.2014, -34.0000);335.7521;0.0000;154.8754;;
45903.6145;(0.0000, 2.2014, -34.0000);335.7521;0.0000;133.6627;;
45903.6313;(0.0000, 2.2014, -34.0000);335.7521;0.0000;115.4340;;
45903.6479;(0.0000, 2.2014, -34.0000);335.7521;0.0000;105.5914;;
45903.6813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;92.2437;;
45903.6979;(0.0000, 2.2014, -34.0000);335.7521;0.0000;87.5920;;
45903.7146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;83.7563;;
45903.7306;(0.0000, 2.2014, -34.0000);335.7521;0.0000;80.5778;;
45903.7473;(0.0000, 2.2014, -34.0000);335.7521;0.0000;78.2630;;
45903.7805;(0.0000, 2.2014, -34.0000);335.7521;0.0000;73.9955;;
45903.7972;(0.0000, 2.2014, -34.0000);335.7521;0.0000;72.3605;;
45903.8144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;70.8646;;
45903.8312;(0.0000, 2.2014, -34.0000);335.7521;0.0000;69.3333;;
45903.8478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;68.2106;;
45903.8811;(0.0000, 2.2014, -34.0000);335.7521;0.0000;66.5796;;
45903.8974;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.8330;;
45903.9140;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.3584;;
45903.9307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;64.7784;;
45903.9476;(0.0000, 2.2014, -34.0000);335.7521;0.0000;64.2327;;
45903.9807;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.3395;;
45903.9975;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.0794;;
45904.0146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;62.7021;;
45904.0314;(0.0000, 2.2014, -34.0000);335.7521;0.0000;62.2417;;
45904.0478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.9753;;
45904.0866;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.6317;;
45904.1102;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4970;;
45904.1305;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.1663;;
45904.1474;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.2593;;
45904.1804;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.9259;;
45904.1972;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.3035;;
45904.2139;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.5174;;
45904.2307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.7586;;
45904.2475;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.8955;;
45904.2807;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.2613;;
45904.2974;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.4742;;
45904.3138;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.5905;;
45904.3301;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.8597;;
45904.3469;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0487;;
45904.3799;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2495;;
45904.3968;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3997;;
45904.4147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3920;;
45904.4316;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.9857;;
45904.4482;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0293;;
45904.4812;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2171;;
45904.4980;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4173;;
45904.5147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4075;;
45904.5309;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5153;;
45904.5475;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7052;;
45904.5806;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7635;;
45904.5972;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8714;;
45904.6146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9473;;
45904.6315;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6396;;
45904.6479;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6248;;
45904.6814;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7212;;
45904.6979;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7511;;
45904.7146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8082;;
45904.7314;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8340;;
45904.7478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8254;;
45904.7813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8672;;
45904.7979;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8868;;
45904.8143;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9005;;
45904.8307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0048;;
45904.8473;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1049;;
45904.8806;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1053;;
45904.8973;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1329;;
45904.9146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1018;;
45904.9314;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8451;;
45904.9480;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8171;;
45904.9813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8599;;
45904.9980;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9154;;
45905.0143;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9144;;
45905.0306;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0852;;
45905.0474;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1513;;
45905.0804;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1825;;
45905.0973;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1960;;
45905.1140;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0815;;
45905.1304;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0883;;
45905.1472;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1560;;
45905.1804;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1519;;
45905.1971;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1127;;
45905.2150;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0858;;
45905.2318;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6552;;
45905.2484;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6456;;
45905.2818;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7331;;
45905.2985;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7599;;
45905.3146;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7798;;
45905.3311;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9925;;
45905.3477;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0165;;
45905.3810;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0185;;
45905.3975;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0425;;
45905.4144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0947;;
45905.4304;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0314;;
45905.4472;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2328;;
45905.4803;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1493;;
45905.4972;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2229;;
45905.5134;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1407;;
45905.5302;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2918;;
45905.5469;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2003;;
45905.5802;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1550;;
45905.5968;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1615;;
45905.6147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1509;;
45905.6316;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7177;;
45905.6481;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7075;;
45905.6813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7754;;
45905.6979;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8170;;
45905.7144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8656;;
45905.7306;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9306;;
45905.7474;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0959;;
45905.7805;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0730;;
45905.7972;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1407;;
45905.8141;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1062;;
45905.8304;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0237;;
45905.8472;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1291;;
45905.8804;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0629;;
45905.8971;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1077;;
45905.9133;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0957;;
45905.9303;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2260;;
45905.9470;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1041;;
45905.9804;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0805;;
45905.9970;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0637;;
45906.0144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0735;;
45906.0311;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7884;;
45906.0478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7815;;
45906.0811;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8339;;
45906.0978;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8640;;
45906.1144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8771;;
45906.1311;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8853;;
45906.1478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8866;;
45906.1811;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0126;;
45906.1977;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9220;;
45906.2140;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9283;;
45906.2307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0858;;
45906.2475;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0338;;
45906.2807;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9989;;
45906.2975;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0515;;
45906.3142;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0120;;
45906.3310;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0067;;
45906.3479;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9293;;
45906.3782;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8853;;
45906.3950;(0.0000, 2.2014, -34.0000);335.7521;0.0000;55.3589;;
45906.4116;(0.0000, 2.2014, -34.0000);335.7521;0.0000;55.7608;;
45906.4307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.1761;;
45906.4474;(0.0000, 2.2014, -34.0000);335.7521;0.0000;55.7623;;
45906.4808;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.5796;;
45906.4973;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.8228;;
45906.5147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.1562;;
45906.5316;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.1833;;
45906.5482;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.4047;;
45906.5814;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.8820;;
45906.5987;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.1302;;
45906.6155;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.0758;;
45906.6323;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.2415;;
45906.6489;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.3784;;
45906.6655;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.5743;;
45906.6989;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.8487;;
45906.7147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.9631;;
45906.7315;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3159;;
45906.7481;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3648;;
45906.7813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4819;;
45906.7982;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5889;;
45906.8148;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5629;;
45906.8309;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6346;;
45906.8475;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8813;;
45906.8806;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9345;;
45906.8971;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0118;;
45906.9142;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0490;;
45906.9304;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9026;;
45906.9471;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0692;;
45906.9805;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0310;;
45906.9969;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0282;;
45907.0148;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1147;;
45907.0317;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6400;;
45907.0483;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6255;;
45907.0817;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7784;;
45907.0979;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7396;;
45907.1143;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9273;;
45907.1310;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9974;;
45907.1477;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9900;;
45907.1809;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0016;;
45907.1976;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0121;;
45907.2147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0087;;
45907.2315;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8457;;
45907.2481;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8359;;
45907.2814;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8685;;
45907.2977;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8973;;
45907.3148;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0272;;
45907.3308;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9010;;
45907.3476;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1229;;
45907.3807;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0774;;
45907.3976;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1425;;
45907.4149;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0541;;
45907.4316;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8047;;
45907.4484;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8169;;
45907.4813;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8362;;
45907.4982;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0130;;
45907.5149;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8994;;
45907.5318;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8641;;
45907.5484;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8253;;
45907.5818;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9971;;
45907.5982;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8533;;
45907.6144;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9497;;
45907.6311;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1128;;
45907.6478;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1252;;
45907.6807;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1035;;
45907.6977;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2106;;
45907.7145;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1007;;
45907.7307;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0750;;
45907.7475;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1722;;
45907.7808;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1089;;
45907.7971;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1177;;
45907.8145;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2474;;
45907.8313;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9455;;
45907.8479;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8995;;
45907.8811;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9560;;
45907.8978;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0034;;
45907.9148;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9717;;
45907.9317;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8452;;
45907.9481;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8118;;
45907.9814;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9221;;
45907.9983;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9287;;
45908.0150;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8779;;
45908.0308;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9004;;
45908.0476;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1712;;
45908.0809;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1272;;
45908.0976;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0966;;
45908.1148;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0969;;
45908.1317;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8584;;
45908.1482;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8473;;
45908.1816;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8380;;
45908.1984;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8999;;
45908.2147;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8872;;
45908.2309;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9817;;
45908.2477;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1671;;
45908.2810;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1850;;
45908.2977;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0666;;
