***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-27-15-28-08-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
41235.6873;(0.0000, 2.2014, -34.0000);335.7521;0.0000;Infinity;;
41235.7077;(0.0000, 2.2014, -34.0000);335.7521;0.0000;342.3838;;
41235.7245;(0.0000, 2.2014, -34.0000);335.7521;0.0000;214.2687;;
41235.7409;(0.0000, 2.2014, -34.0000);335.7521;0.0000;170.1597;;
41235.7575;(0.0000, 2.2014, -34.0000);335.7521;0.0000;144.2866;;
41235.7743;(0.0000, 2.2014, -34.0000);335.7521;0.0000;126.6003;;
41235.7915;(0.0000, 2.2014, -34.0000);335.7521;0.0000;113.8292;;
41235.8248;(0.0000, 2.2014, -34.0000);335.7521;0.0000;96.8476;;
41235.8414;(0.0000, 2.2014, -34.0000);335.7521;0.0000;91.2047;;
41235.8581;(0.0000, 2.2014, -34.0000);335.7521;0.0000;86.7233;;
41235.8748;(0.0000, 2.2014, -34.0000);335.7521;0.0000;83.0356;;
41235.8913;(0.0000, 2.2014, -34.0000);335.7521;0.0000;79.9602;;
41235.9248;(0.0000, 2.2014, -34.0000);335.7521;0.0000;75.1856;;
41235.9416;(0.0000, 2.2014, -34.0000);335.7521;0.0000;73.3123;;
41235.9582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;71.6977;;
41235.9749;(0.0000, 2.2014, -34.0000);335.7521;0.0000;70.3240;;
41235.9917;(0.0000, 2.2014, -34.0000);335.7521;0.0000;69.1361;;
41236.0251;(0.0000, 2.2014, -34.0000);335.7521;0.0000;67.1095;;
41236.0418;(0.0000, 2.2014, -34.0000);335.7521;0.0000;66.3146;;
41236.0585;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.6105;;
41236.0751;(0.0000, 2.2014, -34.0000);335.7521;0.0000;65.0257;;
41236.0918;(0.0000, 2.2014, -34.0000);335.7521;0.0000;64.4871;;
41236.1245;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.8204;;
41236.1412;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.4241;;
41236.1578;(0.0000, 2.2014, -34.0000);335.7521;0.0000;63.0649;;
41236.1744;(0.0000, 2.2014, -34.0000);335.7521;0.0000;62.7730;;
41236.1918;(0.0000, 2.2014, -34.0000);335.7521;0.0000;62.4689;;
41236.2253;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.6583;;
41236.2419;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.5060;;
41236.2587;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.3741;;
41236.2753;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.2255;;
41236.2914;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.1095;;
41236.3247;(0.0000, 2.2014, -34.0000);335.7521;0.0000;61.0897;;
41236.3414;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.9919;;
41236.3581;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.8685;;
41236.3743;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.7663;;
41236.3917;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.8442;;
41236.4251;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.3851;;
41236.4419;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.3805;;
41236.4581;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.3130;;
41236.4748;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.4344;;
41236.4919;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.3727;;
41236.5254;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1205;;
41236.5421;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1011;;
41236.5587;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0865;;
41236.5754;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0997;;
41236.5920;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0813;;
41236.6255;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0072;;
41236.6421;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0258;;
41236.6589;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0242;;
41236.6751;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0354;;
41236.6917;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1805;;
41236.7249;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2295;;
41236.7415;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1836;;
41236.7582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1835;;
41236.7746;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1624;;
41236.7916;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2323;;
41236.8250;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0978;;
41236.8417;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0370;;
41236.8580;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0382;;
41236.8750;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1306;;
41236.8917;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0305;;
41236.9248;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0880;;
41236.9416;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0625;;
41236.9583;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0348;;
41236.9749;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0301;;
41236.9920;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0440;;
41237.0252;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8842;;
41237.0420;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9492;;
41237.0586;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9010;;
41237.0753;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9233;;
41237.0923;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9061;;
41237.1320;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7906;;
41237.1654;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.8298;;
41237.1821;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.0679;;
41237.1987;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.2357;;
41237.2157;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.4326;;
41237.2324;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.4827;;
41237.2658;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.7452;;
41237.2823;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.8602;;
41237.2990;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0178;;
41237.3158;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1018;;
41237.3319;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1882;;
41237.3652;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4237;;
41237.3821;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5597;;
41237.3987;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5278;;
41237.4161;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5916;;
41237.4330;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3511;;
41237.4496;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3658;;
41237.4830;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5190;;
41237.4990;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5298;;
41237.5157;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7861;;
41237.5325;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8055;;
41237.5658;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8446;;
41237.5822;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8274;;
41237.5991;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9475;;
41237.6158;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8676;;
41237.6321;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9065;;
41237.6656;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9436;;
41237.6823;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9563;;
41237.6985;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9304;;
41237.7156;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1055;;
41237.7318;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9557;;
41237.7653;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0470;;
41237.7820;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0695;;
41237.7986;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0452;;
41237.8159;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0571;;
41237.8328;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8196;;
41237.8659;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8827;;
41237.8826;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8807;;
41237.8994;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8728;;
41237.9158;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8796;;
41237.9327;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9371;;
41237.9659;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9273;;
41237.9825;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9298;;
41237.9990;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9518;;
41238.0159;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0349;;
41238.0327;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9202;;
41238.0658;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9607;;
41238.0827;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9955;;
41238.0994;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9214;;
41238.1158;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9159;;
41238.1326;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9971;;
41238.1659;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0495;;
41238.1825;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9810;;
41238.1994;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9904;;
41238.2157;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9714;;
41238.2325;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0422;;
41238.2659;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0100;;
41238.2825;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9988;;
41238.2989;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0165;;
41238.3159;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0926;;
41238.3327;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9722;;
41238.3660;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9187;;
41238.3827;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9551;;
41238.3994;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9753;;
41238.4161;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9762;;
41238.4330;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9088;;
41238.4496;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8618;;
41238.4922;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8930;;
41238.5257;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.0234;;
41238.5424;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.2994;;
41238.5589;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.5670;;
41238.5757;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.8163;;
41238.5923;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.0068;;
41238.6250;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.6434;;
41238.6417;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.7337;;
41238.6584;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.8644;;
41238.6750;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.9561;;
41238.6921;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0936;;
41238.7256;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1035;;
41238.7423;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1257;;
41238.7589;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2308;;
41238.7757;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3268;;
41238.7922;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3746;;
41238.8249;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7212;;
41238.8416;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7471;;
41238.8579;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7936;;
41238.8744;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9133;;
41238.8919;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9801;;
41238.9254;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6652;;
41238.9420;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7069;;
41238.9586;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7663;;
41238.9755;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7920;;
41238.9918;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8094;;
41239.0248;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0771;;
41239.0414;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0181;;
41239.0582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0320;;
41239.0747;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0211;;
41239.0914;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0340;;
41239.1244;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1672;;
41239.1411;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1330;;
41239.1575;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1162;;
41239.1741;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.2167;;
41239.1916;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1619;;
41239.2249;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8678;;
41239.2414;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8878;;
41239.2582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9865;;
41239.2746;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9183;;
41239.2916;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0448;;
41239.3249;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8834;;
41239.3416;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9660;;
41239.3580;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9237;;
41239.3747;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0287;;
41239.3912;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0286;;
41239.4313;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1623;;
41239.4646;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.9153;;
41239.4838;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.1374;;
41239.5005;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.4753;;
41239.5171;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.7021;;
41239.5338;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.9362;;
41239.5504;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.1438;;
41239.5838;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.4884;;
41239.5998;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.6498;;
41239.6165;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.9962;;
41239.6333;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0821;;
41239.6496;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1498;;
41239.6845;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.8740;;
41239.7012;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.9773;;
41239.7176;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0678;;
41239.7346;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2503;;
41239.7512;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2428;;
41239.7846;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3891;;
41239.8011;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4252;;
41239.8180;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5153;;
41239.8344;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5250;;
41239.8510;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6310;;
41239.8838;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8205;;
41239.9004;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9214;;
41239.9171;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9543;;
41239.9335;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9476;;
41239.9501;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0582;;
41239.9835;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0204;;
41240.0590;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0239;;
41240.1220;(0.0000, 2.2014, -34.0000);335.7521;0.0000;44.3649;;
41240.1395;(0.0000, 2.2014, -34.0000);335.7521;0.0000;37.6086;;
41240.1564;(0.0000, 2.2014, -34.0000);335.7521;0.0000;38.9388;;
41240.1730;(0.0000, 2.2014, -34.0000);335.7521;0.0000;40.3259;;
41240.1914;(0.0000, 2.2014, -34.0000);335.7521;0.0000;41.7115;;
41240.2247;(0.0000, 2.2014, -34.0000);335.7521;0.0000;43.9353;;
41240.2415;(0.0000, 2.2014, -34.0000);335.7521;0.0000;45.1922;;
41240.2582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;46.3018;;
41240.2748;(0.0000, 2.2014, -34.0000);335.7521;0.0000;47.3826;;
41240.2915;(0.0000, 2.2014, -34.0000);335.7521;0.0000;48.4013;;
41240.3248;(0.0000, 2.2014, -34.0000);335.7521;0.0000;50.2426;;
41240.3416;(0.0000, 2.2014, -34.0000);335.7521;0.0000;51.0986;;
41240.3583;(0.0000, 2.2014, -34.0000);335.7521;0.0000;51.8226;;
41240.3749;(0.0000, 2.2014, -34.0000);335.7521;0.0000;52.5435;;
41240.3919;(0.0000, 2.2014, -34.0000);335.7521;0.0000;53.2228;;
41240.4253;(0.0000, 2.2014, -34.0000);335.7521;0.0000;54.2621;;
41240.4421;(0.0000, 2.2014, -34.0000);335.7521;0.0000;54.7985;;
41240.4587;(0.0000, 2.2014, -34.0000);335.7521;0.0000;55.2535;;
41240.4748;(0.0000, 2.2014, -34.0000);335.7521;0.0000;55.7086;;
41240.4913;(0.0000, 2.2014, -34.0000);335.7521;0.0000;56.2803;;
41240.5246;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.0113;;
41240.5413;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.2736;;
41240.5580;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.5257;;
41240.5759;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.7765;;
41240.5928;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.5438;;
41240.6261;(0.0000, 2.2014, -34.0000);335.7521;0.0000;57.9861;;
41240.6428;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.1623;;
41240.6595;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.3405;;
41240.6760;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.5094;;
41240.6919;(0.0000, 2.2014, -34.0000);335.7521;0.0000;58.6643;;
41240.7254;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.0810;;
41240.7421;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.1982;;
41240.7587;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.2752;;
41240.7753;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.3714;;
41240.7918;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.4710;;
41240.8253;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5282;;
41240.8420;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.5767;;
41240.8586;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6286;;
41240.8751;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6814;;
41240.8920;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8162;;
41240.9255;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6511;;
41240.9423;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7107;;
41240.9588;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7197;;
41240.9759;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7629;;
41240.9927;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.6452;;
41241.0259;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7234;;
41241.0422;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7244;;
41241.0594;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8934;;
41241.0759;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7618;;
41241.0926;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.7994;;
41241.1252;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0340;;
41241.1420;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1106;;
41241.1582;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0525;;
41241.1758;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1942;;
41241.1926;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8168;;
41241.2260;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8258;;
41241.2424;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.8570;;
41241.2588;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9192;;
41241.2757;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.0488;;
41241.2925;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9240;;
41241.3258;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9111;;
41241.3425;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9468;;
41241.3592;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9398;;
41241.3759;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9471;;
41241.3919;(0.0000, 2.2014, -34.0000);335.7521;0.0000;59.9703;;
41241.4250;(0.0000, 2.2014, -34.0000);335.7521;0.0000;60.1715;;
