***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "13-09-16-20-08-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
47356.4411;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;Infinity;;
47356.4578;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;306.8423;;
47356.4746;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;217.5235;;
47356.4913;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;171.9490;;
47356.5256;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;125.1980;;
47356.5424;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;112.9940;;
47356.5591;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;103.7203;;
47356.5757;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;96.6680;;
47356.5924;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;91.1409;;
47356.6254;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;83.3291;;
47356.6422;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;80.0337;;
47356.6590;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;77.4163;;
47356.6781;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;75.1702;;
47356.6949;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;71.9563;;
47356.7251;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;70.5318;;
47356.7419;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;63.3384;;
47356.7585;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;62.9542;;
47356.7752;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;62.6613;;
47356.7918;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;62.3665;;
47356.8245;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;62.0826;;
47356.8413;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;61.9352;;
47356.8579;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;61.6979;;
47356.8746;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;61.5615;;
47356.8912;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;61.3963;;
47356.9255;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.8357;;
47356.9420;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.7162;;
47356.9587;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.6820;;
47356.9753;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.6167;;
47356.9926;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.5628;;
47357.0101;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2917;;
47357.0426;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2860;;
47357.0592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2267;;
47357.0759;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2415;;
47357.0925;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2056;;
47357.1092;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2000;;
47357.1419;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.4019;;
47357.1586;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.3235;;
47357.1753;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2952;;
47357.1932;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2317;;
47357.2107;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7764;;
47357.2434;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8950;;
47357.2599;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7911;;
47357.2766;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8677;;
47357.2932;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8829;;
47357.3099;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9053;;
47357.3427;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1399;;
47357.3592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1019;;
47357.3760;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1241;;
47357.3926;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1101;;
47357.4253;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2122;;
47357.4418;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2964;;
47357.4586;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.3047;;
47357.4753;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2431;;
47357.4918;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2179;;
47357.5257;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0188;;
47357.5424;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0146;;
47357.5588;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9997;;
47357.5757;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1024;;
47357.5923;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9994;;
47357.6255;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1132;;
47357.6420;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0714;;
47357.6585;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1125;;
47357.6753;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1489;;
47357.6916;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0847;;
47357.7251;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0665;;
47357.7419;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1273;;
47357.7583;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0707;;
47357.7753;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1698;;
47357.7915;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0493;;
47357.8247;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2355;;
47357.8415;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1867;;
47357.8580;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1393;;
47357.8748;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1929;;
47357.8915;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1033;;
47357.9095;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1300;;
47357.9429;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.5903;;
47357.9594;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6580;;
47357.9763;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7582;;
47357.9926;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6958;;
47358.0091;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8697;;
47358.0424;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6772;;
47358.0590;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9739;;
47358.0756;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0170;;
47358.0928;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0048;;
47358.1096;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8207;;
47358.1428;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8447;;
47358.1595;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8830;;
47358.1761;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8863;;
47358.1928;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9374;;
47358.2254;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1642;;
47358.2421;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1563;;
47358.2589;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1300;;
47358.2766;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.0912;;
47358.2934;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6861;;
47358.3106;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6751;;
47358.3433;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8260;;
47358.3599;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8371;;
47358.3766;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8540;;
47358.3933;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8570;;
47358.4253;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9009;;
47358.4419;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;54.8510;;
47358.4588;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;55.3333;;
47358.4755;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;55.6973;;
47358.4920;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.1137;;
47358.5091;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.5114;;
47358.5425;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.9406;;
47358.5592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.2681;;
47358.5757;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.5369;;
47358.5925;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.8347;;
47358.6093;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.9845;;
47358.6421;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.5116;;
47358.6588;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.6508;;
47358.6755;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.7577;;
47358.6928;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.8715;;
47358.7096;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.7640;;
47358.7429;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.0114;;
47358.7595;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.0605;;
47358.7761;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.1908;;
47358.7927;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.2893;;
47358.8095;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.3764;;
47358.8421;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7147;;
47358.8587;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7455;;
47358.8755;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7736;;
47358.8921;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7750;;
47358.9090;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8316;;
47358.9423;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7217;;
47358.9591;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8068;;
47358.9768;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7830;;
47358.9939;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.4148;;
47359.0108;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.3301;;
47359.0413;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.3364;;
47359.0580;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;54.8812;;
47359.0747;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;55.3521;;
47359.0912;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;55.7789;;
47359.1091;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.2062;;
47359.1426;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.4865;;
47359.1592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;56.8414;;
47359.1759;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.1401;;
47359.1933;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.4219;;
47359.2106;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.4094;;
47359.2433;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;57.8833;;
47359.2596;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.0972;;
47359.2763;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.4151;;
47359.2932;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.5965;;
47359.3094;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;58.6232;;
47359.3427;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.0357;;
47359.3593;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.1412;;
47359.3760;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.2423;;
47359.3931;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.3009;;
47359.4105;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.2097;;
47359.4432;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.3673;;
47359.4598;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.4327;;
47359.4760;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.4970;;
47359.4928;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.7132;;
47359.5095;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.6842;;
47359.5423;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8788;;
47359.5592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9572;;
47359.5758;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8799;;
47359.5927;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9054;;
47359.6094;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8276;;
47359.6427;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8757;;
47359.6594;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8701;;
47359.6760;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9117;;
47359.6928;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9024;;
47359.7093;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9332;;
47359.7421;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1474;;
47359.7586;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1329;;
47359.7754;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1455;;
47359.7920;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1199;;
47359.8249;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2409;;
47359.8416;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.2409;;
47359.8582;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1919;;
47359.8750;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1860;;
47359.8917;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1473;;
47359.9090;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;60.1415;;
47359.9424;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8171;;
47359.9592;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8765;;
47359.9758;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8812;;
47359.9924;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.8936;;
47360.0258;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9527;;
47360.0424;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9149;;
47360.0591;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9344;;
47360.0768;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.9585;;
47360.0937;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.5497;;
47360.1102;(-2.1198, 2.2000, -25.3247);342.4279;0.0000;59.5382;;
47360.1435;(-2.1266, 2.2000, -25.3269);342.3194;0.0000;59.7567;;
47360.1602;(-2.1397, 2.2000, -25.3310);342.1712;0.0000;59.6962;;
47360.1768;(-2.1582, 2.2000, -25.3370);341.9503;0.0000;59.7384;;
47360.1934;(-2.1818, 2.2000, -25.3447);341.6464;0.0000;59.7808;;
47360.2094;(-2.2098, 2.2000, -25.3539);341.2535;0.0000;59.8051;;
47360.2426;(-2.2417, 2.2000, -25.3648);340.2033;0.0000;60.0253;;
47360.2595;(-2.2771, 2.2000, -25.3775);339.5974;0.0000;60.1226;;
47360.2761;(-2.3155, 2.2000, -25.3918);338.9768;0.0000;60.0362;;
47360.2922;(-2.3567, 2.2000, -25.4076);338.4020;0.0000;60.0397;;
47360.3255;(-2.4003, 2.2000, -25.4249);337.4381;0.0000;60.2433;;
47360.3421;(-2.4459, 2.2000, -25.4438);337.0544;0.0000;60.2123;;
47360.3586;(-2.4935, 2.2000, -25.4640);336.7569;0.0000;60.2013;;
47360.3752;(-2.5428, 2.2000, -25.4852);336.5504;0.0000;60.2532;;
47360.3933;(-2.5871, 2.2000, -25.5044);336.4039;0.0000;60.2502;;
47360.4102;(-2.6270, 2.2000, -25.5218);336.2914;0.0000;59.6758;;
47360.4431;(-2.6628, 2.2000, -25.5376);336.1735;0.0000;59.7350;;
47360.4601;(-2.6951, 2.2000, -25.5518);336.1400;0.0000;59.8550;;
