***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "09-53-31-27-08-2018"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
35611.8922;(0.0000, 2.2000, -34.0000);335.7521;0.0000;Infinity;;
35611.9087;(0.0000, 2.2000, -34.0000);335.7521;0.0000;198.0552;;
35611.9253;(0.0000, 2.2000, -34.0000);335.7521;0.0000;159.6018;;
35611.9421;(0.0000, 2.2000, -34.0000);335.7521;0.0000;136.8544;;
35611.9748;(0.0000, 2.2000, -34.0000);335.7521;0.0000;111.1174;;
35611.9921;(0.0000, 2.2000, -34.0000);335.7521;0.0000;102.1311;;
35612.0121;(0.0000, 2.2000, -34.0000);335.7521;0.0000;94.8119;;
35612.0289;(0.0000, 2.2000, -34.0000);335.7521;0.0000;86.9839;;
35612.0456;(0.0000, 2.2000, -34.0000);335.7521;0.0000;83.1508;;
35612.0621;(0.0000, 2.2000, -34.0000);335.7521;0.0000;80.0736;;
35612.0956;(0.0000, 2.2000, -34.0000);335.7521;0.0000;75.3080;;
35612.1117;(0.0000, 2.2000, -34.0000);335.7521;0.0000;73.4374;;
35612.1281;(0.0000, 2.2000, -34.0000);335.7521;0.0000;72.0548;;
35612.1449;(0.0000, 2.2000, -34.0000);335.7521;0.0000;70.7734;;
35612.1615;(0.0000, 2.2000, -34.0000);335.7521;0.0000;69.4858;;
35612.1882;(0.0000, 2.2000, -34.0000);335.7521;0.0000;68.4089;;
35612.2050;(0.0000, 2.2000, -34.0000);335.7521;0.0000;63.1868;;
35612.2240;(0.0000, 2.2000, -34.0000);335.7521;0.0000;62.8090;;
35612.2408;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.5902;;
35612.2740;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.2422;;
35612.2908;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.1903;;
35612.3075;(0.0000, 2.2000, -34.0000);335.7521;0.0000;61.0184;;
35612.3241;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.9119;;
35612.3409;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.8282;;
35612.3743;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.6314;;
35612.3908;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5617;;
35612.4075;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.5353;;
35612.4240;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4831;;
35612.4408;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.4716;;
35612.4741;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3547;;
35612.4908;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.3338;;
35612.5083;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2987;;
35612.5255;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9557;;
35612.5417;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.7682;;
35612.5750;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9371;;
35612.5916;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9742;;
35612.6079;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9860;;
35612.6243;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1562;;
35612.6410;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2031;;
35612.6743;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1526;;
35612.6911;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1716;;
35612.7081;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1296;;
35612.7250;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9418;;
35612.7416;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9019;;
35612.7749;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9436;;
35612.7916;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9628;;
35612.8084;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9503;;
35612.8242;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9670;;
35612.8408;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.2186;;
35612.8743;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1225;;
35612.8909;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1365;;
35612.9081;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.1418;;
35612.9250;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9013;;
35612.9416;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8709;;
35612.9749;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.8991;;
35612.9913;(0.0000, 2.2000, -34.0000);335.7521;0.0000;59.9338;;
35613.0084;(0.0000, 2.2000, -34.0000);335.7521;0.0000;60.0148;;
