***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "16-35-34-13-11-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
59734.3836;(0.0000, 2.2000, -20.7000);359.9000;358.2000;Infinity;;
59734.4057;(0.0000, 2.2000, -20.7000);359.9000;358.2000;85.0434;;
59734.4397;(0.0000, 2.2000, -20.7000);359.9000;358.2000;75.3793;;
59734.4623;(0.0000, 2.2000, -20.7000);359.9000;358.2000;73.2203;;
59734.4820;(0.0000, 2.2000, -20.7000);359.9000;358.2000;68.6249;;
59734.4988;(0.0000, 2.2000, -20.7000);359.9000;358.2000;66.3206;;
59734.5154;(0.0000, 2.2000, -20.7000);359.9000;358.2000;65.5843;;
59734.5321;(0.0000, 2.2000, -20.7000);359.9000;358.2000;64.9921;;
59734.5488;(0.0000, 2.2000, -20.7000);359.9000;358.2000;64.4532;;
59734.5662;(0.0000, 2.2000, -20.7000);359.9000;358.2000;63.9974;;
59734.5830;(0.0000, 2.2000, -20.7000);359.9000;358.2000;63.2492;;
59734.6163;(0.0000, 2.2000, -20.7000);359.9000;358.2000;62.5736;;
59734.6329;(0.0000, 2.2000, -20.7000);359.9000;358.2000;62.3217;;
59734.6491;(0.0000, 2.2000, -20.7000);359.9000;358.2000;62.0906;;
59734.6660;(0.0000, 2.2000, -20.7000);359.9000;358.2000;62.0377;;
59734.6828;(0.0000, 2.2000, -20.7000);359.9000;358.2000;61.7249;;
59734.7161;(0.0000, 2.2000, -20.7000);359.9000;358.2000;61.3780;;
59734.7325;(0.0000, 2.2000, -20.7000);359.9000;358.2000;61.2328;;
59734.7494;(0.0000, 2.2000, -20.7000);359.9000;358.2000;61.2201;;
59734.7659;(0.0000, 2.2000, -20.7000);359.9000;358.2000;60.9969;;
59734.7990;(0.0000, 2.2000, -20.7000);359.9000;358.2000;60.9980;;
59734.8156;(0.0000, 2.2000, -20.7000);359.9000;358.2000;60.8462;;
59734.8320;(0.0000, 2.2000, -20.7000);359.9000;358.2000;60.7836;;
