***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "14-16-13-27-11-2017"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
51373.8399;(0.0000, 2.5000, -34.0000);268.8698;0.0000;Infinity;;
51373.8728;(0.0000, 2.5000, -34.0000);268.8000;0.0000;67.1126;;
51373.8905;(0.0000, 2.5000, -34.0000);268.8000;0.0000;66.3143;;
51373.9073;(0.0000, 2.5000, -34.0000);268.8000;0.0000;65.1537;;
51373.9240;(0.0000, 2.5000, -34.0000);268.8000;0.0000;64.5661;;
51373.9405;(0.0000, 2.5000, -34.0000);268.8000;0.0000;64.0787;;
51373.9590;(0.0000, 2.5000, -34.0000);268.8000;0.0000;63.6913;;
51373.9924;(0.0000, 2.5000, -34.0000);268.8000;0.0000;62.2535;;
51374.0088;(0.0000, 2.5000, -34.0000);268.8000;0.0000;62.0428;;
51374.0257;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.9593;;
51374.0421;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.6520;;
51374.0586;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.6080;;
51374.0917;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.3707;;
51374.1085;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.2667;;
51374.1251;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.1181;;
51374.1428;(0.0000, 2.5000, -34.0000);268.8000;0.0000;61.0426;;
51374.1596;(0.0000, 2.5000, -34.0000);268.8000;0.0000;60.5071;;
51374.1926;(0.0000, 2.5000, -34.0000);268.3742;0.0000;60.4105;;
51374.2093;(0.0000, 2.5000, -34.0000);267.9980;0.0000;60.4651;;
51374.2263;(0.0000, 2.5000, -34.0000);267.2467;0.0000;60.4032;;
51374.2429;(0.0000, 2.5000, -34.0000);266.4402;0.0000;60.2668;;
51374.2590;(0.0000, 2.5000, -34.0000);265.4711;0.0000;60.2584;;
51374.2922;(0.0000, 2.5000, -34.0000);264.0963;0.0000;60.3774;;
51374.3089;(0.0000, 2.5000, -34.0000);263.7700;0.0000;60.3885;;
51374.3255;(0.0000, 2.5000, -34.0000);264.4104;0.0000;60.3365;;
51374.3429;(0.0000, 2.5000, -34.0000);265.9558;0.0000;60.3466;;
51374.3596;(0.0000, 2.5000, -34.0000);271.0573;0.0000;60.0239;;
51374.3931;(0.0000, 2.5000, -34.0000);287.6962;0.0000;60.0008;;
51374.4092;(0.0000, 2.5000, -34.0000);298.1541;0.0000;59.9822;;
51374.4271;(0.0000, 2.5000, -34.0000);311.7894;0.0000;60.1506;;
51374.4439;(0.0000, 2.5000, -34.0000);326.0277;0.0000;59.6956;;
51374.4606;(0.0000, 2.5000, -34.0000);339.6838;0.0000;59.6933;;
51374.5066;(0.0000, 2.5000, -34.0000);19.3569;0.0000;59.7358;;
51374.5233;(0.0000, 2.5000, -34.0000);52.8366;0.0000;55.5329;;
